Sentences,Predicted Tags,Annotated by: Annotator 1,Annotated by: Annotator 2,Annotated by: Annotator 3
Bhai maine kuchh order kiya tha aur wo aa gya pay later liya tha ab wo mere haat me hai lekin payment mang rha late fees up to 600 rs bol rha,"Bhai, maine kuchh order kiya tha aur wo aa gaya, pay later liya tha. Ab wo mere haath mein hai lekin payment mang raha hai, late fees up to 600 Rs bol raha hai.",Bhai maine kuch order kiya tha aur woh aa gaya pay later liya tha ab woh mere haath mein hai lekin payment mang raha late fees up to ₹600 bol raha.,"Bhai, maine kuchh order kiya tha aur wo aa gaya, pay later liya tha ab wo mere haath mein hai lekin payment mang raha hai, late fees up to 600 Rs bol raha hai.","Bhai, maine kuch order kiya tha aur wo aa gaya. Pay later liya tha, ab wo mere haat me hai, lekin payment mang rha hai. Late fees up to 600 rs bol rha hai."
capche work ke bare me information dijiye sir.. kaise income hoti hai aur kya usame froud hota hai ki nhi,cash work ke bare mein information dijiye sir. kaise income hoti hai aur kya usme fraud hota hai ki nahi.,Cash work ke baare mein information dijiye sir. Kaise income hoti hai aur kya usme fraud hota hai ki nahi.,Cash work ke bare mein information dijiye sir kaise income hoti hai aur kya usme fraud hota hai ki nahi.,Capche work ke bare me information dijiye sir. Kaise income hoti hai aur kya usme fraud hota hai ki nhi.
Itni der mein toh main puri bread hi pale deta hoon...itna time ni hai mere kol,Itni der mein toh main puri bread hi bake deta hoon... itna time nahi hai mere ko.,Itni der mein toh main puri bread hi bake deta hoon itna time nahi hai mere ko.,Itni der mein toh main puri bread hi pale deta hoon. itna time nahi hai mere paas.,Itni der mein toh main puri bread hi bake deta hoon itna time nahi hai mere ko.
Aap jaise saari janta ko baandh lete hai apne shabdon se....uska koi jawaab nahi ... Ramkrishna Hari,Aap jaise saari janta ko baandh lete hain apne shabdon se. uska koi jawab nahi. Ramkrishna Hari,Aap jaise saari janta ko baandh lete hain apne shabdon se uska koi jawaab nahi Ramkrishna Hari.,Aap jaise saari janta ko baandh lete hai apne shabdon se uska koi jawab nahi Ramkrishna Hari.,Aap jaise saari janta ko bandh lete hain apne shabdon se. Uska koi jawab nahi. Ramkrishna Hari.
Scalping mein Chote chote profit mein break even kese achieve hoga...or agar achieve nhi hoga fir bhi profit hoga kya ..pls reply sir,"Scalping mein chote chote profit mein break even kaise achieve hoga? Or agar achieve nahi hoga, fir bhi profit hoga kya? Please reply sir.",Scalping mein chhote chhote profit mein break even kaise achieve hoga aur agar achieve nahi hoga phir bhi profit hoga kya please reply sir.,"Scalping mein chote chote profit mein break even kaise achieve hoga? or agar achieve nahi hoga, fir bhi profit hoga kya? Please reply sir.",Scalping mein chote chote profit mein break even kese achieve hoga. Or agar achieve nhi hoga fir bhi profit hoga kya? Please reply sir.
Sir mene ap ka video dekh Kar mAadhaar application me adhar card ka address change kia tha 2month se jayda ho geya Lekin Abhi tak under proceas me he muje koye solution dijie please.,"Sir, maine aap ka video dekh kar Aadhaar application me Aadhaar card ka address change kiya tha, 2 month se zyada ho gaya, lekin abhi tak under process hai. Mujhe koi solution dijiye please.","Sir, maine aap ka video dekh kar Aadhaar application me Aadhaar card ka address change kiya tha, 2 month se zyada ho gaya, lekin abhi tak under process hai. Mujhe koi solution dijiye please.","Sir, maine aap ka video dekh kar Aadhaar application me Aadhaar card ka address change kiya tha, 2 month se zyada ho gaya, lekin abhi tak under process hai mujhe koi solution dijiye please.","Sir, maine aap ka video dekh kar mAadhaar application me Aadhar card ka address change kiya tha, 2 month se zyada ho gaya. Lekin abhi tak under process me hai, mujhe koi solution dijiye please."
Kuch to Bat HAi Is Banday mai ... Achi Dunia banany K leay Acha Insan bnana or Ban jana Zaroori hai Great Words,Kuch to baat hai is bande mein. Achhi duniya banane ke liye achha insaan banana aur ban jana zaroori hai Great Words.,Kuch toh baat hai is bande mein achhi duniya banane ke liye achha insaan banana aur ban jana zaroori hai. Great words.,Kuch to baat hai is bande mein achhi duniya banane ke liye achha insaan banana aur ban jana zaroori hai great words.,Kuch to baat hai is banday mai. Achi duniya banane ke liye acha insan banana aur ban jana zaroori hai. Great words.
Modi kaam kar karke thak Gaye hai hm janta ki Farz banta hai ki modi ko 20 saal aaram de 10 saal only jhumla jhumla jhumla jhumla modi jhumla jhumla bola hai modi,"Modi kaam karke thak gaye hain hum janata ka farz hai ki Modi ko 20 saal aaram de, 10 saal sirf jhumla jhumla jhumla jhumla Modi jhumla jhumla bola hai Modi.",Modi kaam kar karke thak gaye hain hum janta ka farz banta hai ki Modi ko 20 saal aaram de 10 saal only jhumla Modi jhumla bola hai Modi.,"Modi kaam karke thak gaye hai hum janata ka faraz hai ki Modi ko 20 saal aaram de, 10 saal sirf jhumla jhumla jhumla jhumla Modi jhumla jhumla bola hai Modi.","Modi kaam kar karke thak gaye hain. Hum janta ki farz banta hai ki Modi ko 20 saal aaram de. 10 saal only jhootha jhootha jhootha jhootha, Modi jhootha jhootha bola hai Modi."
Maine bnaye hai lekin bht zada oily rehte hai less oily rakhne k liye kya karna chaiye?0,Maine banaya hai lekin bahut zyada oily rehte hain less oily rakhne ke liye kya karna chahiye?,Maine banaya hai lekin bahut zyada oily rehte hain less oily rakhne ke liye kya karna chahiye?,Maine banaye hai lekin bahut zada oily rehte hain. Less oily rakhne ke liye kya karna chahiye?,Maine banaya hai lekin bahut zyada oily rehte hain less oily rakhne ke liye kya karna chahiye?
Me investment karna chahta hu bhai par manth 12₹ selrri kha pe investment karu,"Main investment karna chahta hoon bhai, par mahine 12₹ salary ke baad investment karu.","Main investment karna chahta hoon bhai, par mahine ₹12 salary ke baad investment karun.","Me investment karna chahta hu bhai, par month ₹12 salary kha pe investment karu.",Main investment karna chahta hoon bhai par mahine 12₹ salary ke baad investment karu.
Sir...background ka music thos km rkha kro distraction bhi hota hai or aapki awaz bhi sunayi nahi deti hai,"Sir... background ka music thoda kam rakho, distraction bhi hota hai aur aapki awaaz bhi sunayi nahi deti hai","Sir, background ka music thoda kam rakho, distraction bhi hota hai aur aapki awaaz bhi sunayi nahi deti hai.","Sir, background ka music thoda kam rakha kro. Distraction bhi hota hai aur aapki awaz bhi sunayi nahi deti hai.",Sir background ka music thoda kam rakho distraction bhi hota hai aur aapki awaaz bhi sunayi nahi deti hai.
Decision accha h ...par ab UP ko bhi baiforgat kar dena chahiye taki wanha bhi acche management ho ...,Decision accha hai ...par ab UP ko bhi forget kar dena chahiye taki waha bhi acche management ho ...,Decision accha hai par ab UP ko bhi forget kar dena chahiye taaki waha bhi acche management ho.,Decision accha hai. Par ab UP ko bhi bhoolforgat kar dena chahiye taki wahan bhi acche management ho.,Decision accha hai par ab UP ko bhi forget kar dena chahiye taki waha bhi ache management ho.
Bjp kuch nahi dega garenty hai Mandir ban gaya ho gaya sab kuch,"BJP kuch nahi dega, guarantee hai, Mandir ban gaya, ho gaya sab kuch.","BJP kuch nahi dega, guarantee hai, mandir ban gaya, ho gaya sab kuch.","BJP kuch nahi dega, guarantee hai, Mandir ban gaya ho gaya, sab kuch.",BJP kuch nahi dega guarantee hai mandir ban gaya ho gaya sab kuch.
Apne language me do sabd boldeto wah wah hotihai..yeh to kuch inspiration hi tha ..jai ho ....my india is always loving the world ..,"Apne language me do shabd bol dete ho, wah wah hoti hai. Yeh to kuch inspiration hi tha. Jai ho. My India is always loving the world.",Apne language mein do shabd bol de toh wah wah hoti hai yeh toh kuch inspiration hi tha jai ho my India is always loving the world.,"Apne language me do shabd bol dete ho, wah wah hoti hai yeh to kuch inspiration hi tha Jai ho my India is always loving the world.",Apne language me do shabdon ko bolte waqt wah wah hoti hai. Yeh to kuch inspiration hi tha. Jai ho. My India is always loving the world.
Kaise jhoke apna jivan kisi kaam me... jab mann he nahi lgta kisi me... koi rasta btaye,Kaise jhoke apna jeevan kisi kaam me. Jab mann hi nahi lagta kisi ko. Koi rasta bataye.,Kaise jhoke apna jeevan kisi kaam mein jab mann hi nahi lagta kisi ko koi rasta bataye.,Kaise jhoke apna jeevan kisi kaam me. Jab mann hi nahi lagta kisi ko. Koi rasta bataye.,"Kaise jhoke apna jivan kisi kaam me. Jab mann he nahi lagta kisi me, koi rasta bataye."
AP Dalal patarkar nahi hai ap Sachi patarkar hai ap logo ko belkul Sach dekhati hai,"Aap Dalal patrakar nahi hain, aap sachchi patrakar hain, aap logo ko bilkul sach dekhati hain.","Aap dalal patrakar nahi hain, aap sanche patrakar hain, aap logo ko bilkul sach dekhati hain.","Aap dalal patrakar nahi hai aap sachi patrakar hai, aap logo ko bilkul sach dekhati hain.","Aap dalal patarkar nahi hain, aap sacchi patarkar hain. Aap logo ko bilkul sach dikhati hai."
Koi bhi cheez jo Bharat mein bani ho uspe sandeh karna khud par sandeh karne ke barabar hai..,"Koi bhi cheez jo Bharat mein bani ho, uspe sandeh karna khud par sandeh karne ke barabar hai.","Koi bhi cheez jo Bharat mein bani ho, uspe sandeh karna khud par sandeh karne ke barabar hai.","Koi bhi cheez jo bharat mein bani ho, uspe sandeh karna khud par sandeh karne ke barabar hai.","Koi bhi cheez jo Bharat mein bani ho, uspe sandeh karna khud par sandeh karne ke barabar hai."
Sir ji naam badal kar shaabit kya karna chahte hai,Sir ji naam badal kar sabit kya karna chahte hain,Sir ji naam badal kar saabit kya karna chahte hain.,"Sir ji, naam badal kar shaabit kya karna chahte hain.",Sir ji naam badal kar sabit kya karna chahte hai.
"Bus agar hota hai to Yoga , Ayurveda , Vedic gyan jo hummare purwazo ki samagh ya kah sakte hai unki reasearch hai... Or mostly chize faltu ki hai","Bas agar hota hai to Yoga, Ayurveda, Vedic gyan jo humare purvajon ki samajh ya kah sakte hain unki research hai. Aur mostly cheezein faltu ki hain.","Bas agar hota hai toh Yoga, Ayurveda, Vedic gyan jo humare purvajon ki samajh ya keh sakte hain unki research hai aur mostly cheezein faltu ki hain.","Bas agar hota hai to yoga, ayurveda, vedic gyan jo humare purvajon ki samajh ya kah sakte hain unki research hai. Aur mostly cheezein faltu ki hain.","Bus agar hota hai to yoga, ayurveda, vedic gyan jo humare purvajo ki samagat ya kah sakte hai unki research hai. Or mostly chize faltu ki hai."
Shri Narendra Modi ji har country kr paad ek badiya battle rifle hai even un country ke paad jinko koi khatra nhi.....but hamare army ke paas best rifle kyun nhi hai,"Shri Narendra Modi ji har country ke paas ek badiya battle rifle hai, even un countries ke paas jinko koi khatra nahi. But hamare army ke paas best rifle kyun nahi hai.","Shri Narendra Modi ji har country ke paas ek badhiya battle rifle hai, even un countries ke paas jinko koi khatra nahi but hamare army ke paas best rifle kyun nahi hai.","Shri Narendra Modi ji har country ke paas ek badiya battle rifle hai, even un countries ke paas jinko koi khatra nahi. But hamare army ke paas best rifle kyun nahi hai.","Shri Narendra Modi ji, har country ke paas ek badiya battle rifle hai, even un country ke paas jinko koi khatra nahi. But hamare army ke paas best rifle kyun nahi hai."
Iska jawab yah hai jo apna se Na majbut Ho Raha hai,Iska jawab yeh hai jo apna se na majboot ho raha hai,Iska jawab yeh hai jo apna se na majboot ho raha hai.,"Iska jawab yah hai, jo apna se na majboot ho raha hai.",Iska jawab yeh hai jo apna se na majboot ho raha hai.
Maine Bharat sir se inspiration leke channel shuru kiya tha par mere 3 sal bad bhi 1000 subscriber bhi nhi hue. Help me guys.,"Maine Bharat sir se inspiration lekar channel shuru kiya tha par mere 3 saal baad bhi 1000 subscribers nahi hue. Help me, guys.","Maine Bharat sir se inspiration lekar channel shuru kiya tha par mere 3 saal baad bhi 1000 subscribers nahi hue. Help me, guys.","Maine Bharat sir se inspiration leke channel shuru kiya tha, par mere 3 saal bad bhi 1000 subscriber bhi nahi hue. Help me guys.",Maine bharat sir se inspiration lekar channel shuru kiya tha par mere 3 saal baad bhi 1000 subscribers nahi hue help me guys.
Sir agar ham 10 sal ke liye invest Kar rahe hai to uske pahle ham us paiso ko nikal sakte hai ya nahi,Sir agar ham 10 saal ke liye invest kar rahe hain to uske pehle ham us paise ko nikal sakte hain ya nahi?,"Sir, agar hum 10 saal ke liye invest kar rahe hain toh uske pehle ham us paise ko nikal sakte hain ya nahi?","Sir, agar ham 10 saal ke liye invest kar rahe hain to uske pahle ham us paise ko nikal sakte hain ya nahi.",Sir agar ham 10 saal ke liye invest kar rahe hain to uske pehle ham us paise ko nikal sakte hain ya nahi?
2029 me iss sarkar ko bida kar do nahi to sab kuch ye sahab bech denge apne to pension ke paisa se aisa karega,"2029 mein is sarkar ko bida kar do, nahi to sab kuch ye sahab bech denge. Apne pension ke paise se aisa karega.","2029 mein is sarkar ko bida kar do, nahi toh sab kuch ye sahab bech denge. Apne pension ke paise se aisa karega.","2029 me iss sarkar ko bidha kar do, nahi to sab kuch ye sahab bech denge, apne to pension ke paise se aisa karega.","2029 mein is sarkar ko bida kar do, nahi to sab kuch ye sahab bech denge apne pension ke paise se aisa karega."
Bhai upsc ka padhao.....!...baat baat pr geopolitics me q aa jate ho,Bhai UPSC ka padhao... baat baat par geopolitics me kyun aa jate ho,Bhai UPSC ka padhao baat baat par geopolitics me kyun aa jate ho.,"Bhai, UPSC ka padhao. Baat baat par geopolitics me q aa jate ho.",Bhai UPSC ka padhao baat baat par geopolitics me kyun aa jate ho.
Not very much sure but 3000 logon ko call karke poocha jata hai lekin ye uska ek part hai,Not very sure but 3000 logon ko call karke poochha jata hai lekin ye uska ek part hai,Not very sure but 3000 logon ko call karke poochha jata hai lekin ye uska ek part hai.,"Not very much sure but 3000 logon ko call karke poochha jata hai, lekin ye uska ek part hai.",Not very sure but 3000 logon ko call karke puchha jata hai lekin ye uska ek part hai.
Inauguration pe Modi ji please waste of time nhi krna chahiye politicians ko yeh sbse chote karmchari ushi dept. ke ush ss bhi ho sakta hai...,Inauguration pe Modi ji please waste of time nahi karna chahiye politicians ko yeh sabse chote karmachari uski dept. ke usse bhi ho sakta hai.,Inauguration pe Modi ji please waste of time nahi karna chahiye politicians ko yeh sabse chote karmachari uski dept. ke usse bhi ho sakta hai.,Inauguration pe modi ji please waste of time nahi karna chahiye politicians ko yeh sabse chote karmachari uski dept. Ke usse bhi ho sakta hai.,"Inauguration pe Modi ji, please waste of time nhi karna chahiye. Politicians ko yeh sabse chote karmchari usi department ke uss bhi ho sakta hai."
Sir agar photoshoot ho gya ho to desh ki economy per bhi baat kar le...,Sir agar photoshoot ho gaya hai to desh ki economy par bhi baat kar le.,"Sir, agar photoshoot ho gaya hai toh desh ki economy par bhi baat kar le.",Sir agar photoshoot ho gaya hai to desh ki economy par bhi baat kar le.,"Sir, agar photoshoot ho gaya ho to desh ki economy per bhi baat kar le."
"Narender Modi stadium, NaMo bharat train....lage hatho desh ka naam bhi ""modistan"" rakh hi do ...itna self obsession accha nahi hota....","Narendra Modi stadium, NaMo Bharat train. Lage haath desh ka naam bhi ""modistan"" rakh hi do. Itna self obsession accha nahi hota.","Narendra Modi stadium, NaMo Bharat train lage haath desh ka naam bhi ""Modistan"" rakh hi do. Itna self obsession accha nahi hota.","Narendra Modi stadium, namo bharat train. Lage haath desh ka naam bhi ""modistan"" rakh hi do. Itna self obsession accha nahi hota.","Narendra Modi stadium, NaMo Bharat train. Lage hatho desh ka naam bhi 'Modistan' rakh hi do. Itna self obsession accha nahi hota."
Garenty hai to btao.chlegi aaram se 9 saal ki age se bullet chlaya car sikh li thi,"Guarantee hai to batao. Chalegi aaram se 9 saal ki umar se bullet chalaya, car sikh li thi","Guarantee hai toh batao chalegi aaram se 9 saal ki umar se bullet chalaya, car sikh li thi.","Guarantee hai to batao. Chalegi aaram se 9 saal ki umar se bullet chalaya, car sikh li thi.","Gaurantee hai to batao. Chalegi aaram se. 9 saal ki age se bullet chalaya, car sikh li thi."
